Timestamp,Where did you reserve your Steam Deck?,Which model did you reserve?,What is your estimate?,What is your timestamp?,How experienced are you with Linux?,Would you like to Dual Boot Windows on your Steam Deck?
19/01/2022 22:23:53,EU,512 GB,After Q2 (No change),1633101598,I am still using Linux frequently.,No
19/01/2022 22:23:53,UK,512 GB,After Q2 (No change),1631000847,I am still using Linux frequently.,No
19/01/2022 22:24:01,US,512 GB,After Q2 (Used to be Q2),1626482100,I tried it once or twice before.,No
19/01/2022 22:24:30,EU,512 GB,Q2 (Used to be Q1),1626511765,I have no Linux experience,No
19/01/2022 22:25:12,EU,64 GB,Q2 (Used to be Q1),1626643334,I have seen it before.,No
19/01/2022 22:25:34,US,512 GB,Q2 (Used to be Q1),1626455638,I have no Linux experience,Yes
19/01/2022 22:25:35,US,256 GB,After Q2 (No change),ok i lied... i canceled my reservation... it was all of that above^,I am still using Linux frequently.,No
19/01/2022 22:25:45,EU,512 GB,Q2 (Still Q2),1626459411,"I run Linux on Servers, but not on my PC.",Yes
19/01/2022 22:25:56,US,512 GB,Q2 (Used to be Q1),1626455908,I tried it once or twice before.,Yes
19/01/2022 22:26:02,EU,256 GB,Q1 (Used to be December),1626455566,I have no Linux experience,Yes
19/01/2022 22:26:34,EU,512 GB,After Q2 (No change),19-01-2022,I have no Linux experience,No
19/01/2022 22:26:36,EU,512 GB,Q2 (Used to be Q1),12:09am CET,I have seen it before.,No
19/01/2022 22:27:14,US,256 GB,Q1 (Used to be December),1626455254,I used Linux frequently in the past.,No
19/01/2022 22:27:22,EU,512 GB,Q1 (Used to be December),1626455540,I am still using Linux frequently.,No
19/01/2022 22:28:09,EU,512 GB,Q2 (Used to be Q1),1626516300,I am still using Linux frequently.,Yes
19/01/2022 22:28:13,EU,64 GB,After Q2 (No change),1628019992,I tried it once or twice before.,No
19/01/2022 22:28:39,EU,256 GB,After Q2 (Used to be Q2),19:07,I tried it once or twice before.,No
19/01/2022 22:30:28,UK,512 GB,Q1 (Still Q1),1626455104,I tried it once or twice before.,No
19/01/2022 22:30:28,US,256 GB,Q2 (Used to be Q1),1626466323,I tried it once or twice before.,No
19/01/2022 22:30:44,US,256 GB,Q2 (Used to be Q1),1626456191,I have no Linux experience,Yes
19/01/2022 22:31:00,US,512 GB,After Q2 (Used to be Q2),1626481951,I am still using Linux frequently.,Yes
19/01/2022 22:31:02,EU,512 GB,Q2 (Still Q2),1626465310,I am still using Linux frequently.,No
19/01/2022 22:31:12,US,512 GB,Q1 (Used to be December),1626455069,I am still using Linux frequently.,No
19/01/2022 22:31:22,US,64 GB,Q2 (Used to be Q1),1626469868,I tried it once or twice before.,Yes
19/01/2022 22:31:25,UK,256 GB,Q2 (Used to be Q1),1626455760,I tried it once or twice before.,Yes
19/01/2022 22:31:29,US,512 GB,Q2 (Used to be Q1),July 16,I tried it once or twice before.,No
19/01/2022 22:31:55,EU,512 GB,Q2 (Used to be Q1),1626459379,I used Linux frequently in the past.,No
19/01/2022 22:32:11,US,256 GB,After Q2 (Used to be Q2),1626621537,I tried it once or twice before.,No
19/01/2022 22:32:28,US,512 GB,After Q2 (Used to be Q2),1626467093,I am still using Linux frequently.,No
19/01/2022 22:32:43,EU,64 GB,Q1 (Still Q1),"{""success"":21}","I run Linux on Servers, but not on my PC.",Yes
19/01/2022 22:33:07,US,512 GB,Q1 (Used to be December),21,I tried it once or twice before.,Yes
19/01/2022 22:33:38,EU,512 GB,After Q2 (Used to be Q2),1628286911,I tried it once or twice before.,No
19/01/2022 22:34:18,US,256 GB,After Q2 (No change),1628654975,I have no Linux experience,Yes
19/01/2022 22:34:22,EU,256 GB,Q2 (Used to be Q1),1626561824,I tried it once or twice before.,No
19/01/2022 22:34:38,US,64 GB,Q2 (Used to be Q1),1626456568,I tried it once or twice before.,Yes
19/01/2022 22:34:44,EU,256 GB,Q2 (Used to be Q1),1626599550,I have no Linux experience,No
19/01/2022 22:34:46,US,512 GB,Q1 (Used to be December),1626454854,I am still using Linux frequently.,No
19/01/2022 22:34:53,EU,512 GB,Q2 (Used to be Q1),"July 16, 2021",I am still using Linux frequently.,Yes
19/01/2022 22:35:07,EU,512 GB,Q2 (Used to be Q1),1626457290,I am still using Linux frequently.,No
19/01/2022 22:35:42,US,512 GB,After Q2 (No change),1635047898,I am still using Linux frequently.,No
19/01/2022 22:35:47,EU,512 GB,After Q2 (No change),1629616300,I am still using Linux frequently.,No
19/01/2022 22:36:44,UK,256 GB,Q1 (Used to be December),6:00pm,I am still using Linux frequently.,Yes
19/01/2022 22:37:37,EU,256 GB,Q2 (Used to be Q1),27.07.21 02:27,I tried it once or twice before.,No
19/01/2022 22:37:55,US,512 GB,Q2 (Used to be Q1),1626455365,I have no Linux experience,Yes
19/01/2022 22:38:03,EU,512 GB,After Q2 (No change),1635874969,I am still using Linux frequently.,No
19/01/2022 22:38:23,US,512 GB,Q2 (Used to be Q1),1626457284,I have no Linux experience,No
19/01/2022 22:38:26,US,512 GB,Q2 (Used to be Q1),1626456987,I have seen it before.,Yes
19/01/2022 22:38:39,US,512 GB,Q2 (Used to be Q1),1626455391,I tried it once or twice before.,No
19/01/2022 22:38:46,UK,256 GB,Q2 (Used to be Q1),1626457304,I tried it once or twice before.,Yes
19/01/2022 22:38:53,UK,64 GB,Q2 (Still Q2),July 19,I have no Linux experience,No
19/01/2022 22:39:00,US,512 GB,Q1 (Used to be December),1626454994,I have no Linux experience,No
19/01/2022 22:39:07,US,512 GB,Q2 (Used to be Q1),1626455986,I tried it once or twice before.,Yes
19/01/2022 22:39:13,US,512 GB,After Q2 (Used to be Q2),1627174937,I tried it once or twice before.,No
19/01/2022 22:40:14,US,512 GB,After Q2 (No change),1640411434,I tried it once or twice before.,No
19/01/2022 22:40:14,US,512 GB,Q2 (Used to be Q1),10:41 am,I tried it once or twice before.,No
19/01/2022 22:41:09,EU,64 GB,Q1 (Used to be December),1626468711,I tried it once or twice before.,No
19/01/2022 22:41:42,US,64 GB,Q2 (Used to be Q1),1626458722,I have seen it before.,No
19/01/2022 22:41:53,UK,512 GB,After Q2 (Used to be Q2),1626696506,"I run Linux on Servers, but not on my PC.",No
19/01/2022 22:42:28,US,512 GB,Q1 (Used to be December),1626454856,"I run Linux on Servers, but not on my PC.",Yes
19/01/2022 22:42:32,US,256 GB,Q2 (Used to be Q1),1626458740,I tried it once or twice before.,Yes
19/01/2022 22:42:50,US,512 GB,After Q2 (Used to be Q2),1626923284,I tried it once or twice before.,Yes
19/01/2022 22:43:11,EU,256 GB,Q1 (Used to be December),1626455888,I used Linux frequently in the past.,No
19/01/2022 22:43:14,US,512 GB,After Q2 (Used to be Q2),1626789714,I have seen it before.,No
19/01/2022 22:43:20,EU,512 GB,Q1 (Used to be December),1626454813,"I run Linux on Servers, but not on my PC.",No
19/01/2022 22:43:44,EU,512 GB,Q2 (Used to be Q1),1626703924,I tried it once or twice before.,No
19/01/2022 22:43:44,US,512 GB,After Q2 (Used to be Q2),24 August 2021@ 11:22pm EST,I tried it once or twice before.,No
19/01/2022 22:43:46,US,512 GB,Q2 (Used to be Q1),1626457279,"I run Linux on Servers, but not on my PC.",No
19/01/2022 22:44:40,EU,512 GB,Q1 (Used to be December),1626454813,"I run Linux on Servers, but not on my PC.",No
19/01/2022 22:45:20,US,256 GB,Q1 (Used to be December),1626455077,I used Linux frequently in the past.,Yes
19/01/2022 22:45:58,US,256 GB,After Q2 (Used to be Q2),1626565543,I have seen it before.,No
19/01/2022 22:46:26,EU,256 GB,Q1 (Used to be December),1626456143,I have no Linux experience,No
19/01/2022 22:46:47,UK,256 GB,Q1 (Used to be December),1626455209,I tried it once or twice before.,No
19/01/2022 22:47:01,US,256 GB,Q2 (Used to be Q1),1626463913,I tried it once or twice before.,Yes
19/01/2022 22:47:17,US,512 GB,After Q2 (Used to be Q2),1635800689,I used Linux frequently in the past.,No
19/01/2022 22:47:59,UK,64 GB,Q1 (Still Q1),1626455987,"I run Linux on Servers, but not on my PC.",No
19/01/2022 22:48:26,UK,256 GB,Q1 (Used to be December),1626454985,I am still using Linux frequently.,Yes
19/01/2022 22:48:37,EU,64 GB,Q1 (Used to be December),1626473767,I tried it once or twice before.,No
19/01/2022 22:48:46,US,256 GB,After Q2 (No change),August 27th,I tried it once or twice before.,Yes
19/01/2022 22:49:04,EU,512 GB,Q2 (Used to be Q1),1626464342,"I run Linux on Servers, but not on my PC.",Yes
19/01/2022 22:51:07,US,512 GB,Q1 (Used to be December),1626454915,I tried it once or twice before.,Yes
19/01/2022 22:51:17,UK,256 GB,Q2 (Used to be Q1),1626455891,I am still using Linux frequently.,No
19/01/2022 22:52:04,US,512 GB,Q2 (Used to be Q1),1626456191,I tried it once or twice before.,No
19/01/2022 22:52:22,US,512 GB,After Q2 (No change),3:52,I have no Linux experience,Yes
19/01/2022 22:53:24,US,256 GB,Q1 (Used to be December),1626455194,I tried it once or twice before.,Yes
19/01/2022 22:53:43,EU,64 GB,Q1 (Used to be December),16 Jul 19:56 UTC+1,"I run Linux on Servers, but not on my PC.",Yes
19/01/2022 22:54:01,EU,512 GB,Q2 (Used to be Q1),1626700382,I have seen it before.,No
19/01/2022 22:54:31,EU,512 GB,Q1 (Used to be December),1626455553,"I run Linux on Servers, but not on my PC.",No
19/01/2022 22:54:46,EU,64 GB,Q1 (Used to be December),1626460353,I used Linux frequently in the past.,No
19/01/2022 22:55:10,US,512 GB,Q2 (Used to be Q1),1626457297,I tried it once or twice before.,No
19/01/2022 22:55:39,EU,512 GB,After Q2 (Used to be Q2),1626468077,I tried it once or twice before.,No
19/01/2022 22:55:50,UK,64 GB,Q2 (Used to be Q1),1626525912,I am still using Linux frequently.,Yes
19/01/2022 22:55:59,US,512 GB,After Q2 (Used to be Q2),1626466333,I used Linux frequently in the past.,No
19/01/2022 22:57:04,UK,512 GB,Q2 (Used to be Q1),1626455914,I used Linux frequently in the past.,No
19/01/2022 22:57:30,UK,512 GB,Q2 (Used to be Q1),1626455597,I tried it once or twice before.,Yes
19/01/2022 22:58:13,US,256 GB,Q2 (Used to be Q1),1626458744,I have no Linux experience,No
19/01/2022 22:59:13,EU,256 GB,Q2 (Used to be Q1),1626632609,I am still using Linux frequently.,No
19/01/2022 23:00:25,UK,512 GB,After Q2 (Used to be Q2),1626467364,"I run Linux on Servers, but not on my PC.",No
19/01/2022 23:00:28,EU,512 GB,Q1 (Used to be December),1626455164,I tried it once or twice before.,No
19/01/2022 23:00:50,US,512 GB,Q2 (Used to be Q1),1626456108,I have no Linux experience,Yes
19/01/2022 23:00:58,US,64 GB,Q2 (Used to be Q1),1626457670,I used Linux frequently in the past.,No
19/01/2022 23:01:17,US,256 GB,Q2 (Used to be Q1),1626463936,"I run Linux on Servers, but not on my PC.",Yes
19/01/2022 23:01:27,US,64 GB,Q1 (Used to be December),1626455763,I tried it once or twice before.,Yes
19/01/2022 23:01:29,US,512 GB,After Q2 (No change),1637529026,I am still using Linux frequently.,No
19/01/2022 23:01:31,UK,64 GB,Q2 (Used to be Q1),1626458792,"I run Linux on Servers, but not on my PC.",No
19/01/2022 23:01:41,US,512 GB,Q1 (Still Q1),1626455231,I am still using Linux frequently.,No
19/01/2022 23:02:05,US,256 GB,Q1 (Used to be December),1626454837,I have no Linux experience,No
19/01/2022 23:03:33,EU,512 GB,Q2 (Used to be Q1),1626472389,I am still using Linux frequently.,No
19/01/2022 23:03:43,US,512 GB,Q2 (Still Q2),1626456946,I tried it once or twice before.,No
19/01/2022 23:05:20,US,256 GB,Q1 (Used to be December),1626455216,I tried it once or twice before.,Yes
19/01/2022 23:05:42,EU,512 GB,Q2 (Used to be Q1),1627066484,I am still using Linux frequently.,No
19/01/2022 23:06:13,UK,512 GB,Q2 (Used to be Q1),1626456325,I tried it once or twice before.,Yes
19/01/2022 23:06:27,EU,512 GB,Q1 (Used to be December),1626454813,I am still using Linux frequently.,Yes
19/01/2022 23:06:39,UK,512 GB,Q1 (Used to be December),1626454987,I used Linux frequently in the past.,Yes
19/01/2022 23:06:57,EU,256 GB,Q1 (Used to be December),1626455848,I am still using Linux frequently.,No
19/01/2022 23:07:43,EU,512 GB,Q2 (Used to be Q1),1626688535,I am still using Linux frequently.,No
19/01/2022 23:07:54,UK,512 GB,Q1 (Used to be December),1626454987,I used Linux frequently in the past.,Yes
19/01/2022 23:08:18,EU,512 GB,Q2 (Used to be Q1),1626458632,"I run Linux on Servers, but not on my PC.",No
19/01/2022 23:08:27,EU,256 GB,Q2 (Used to be Q1),21,I have no Linux experience,Yes
